date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,lgbtq,b2b_gender,b2b_combinedGender,b2b_collabGender,b2b_lgbtq,b2b_raceGender
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,4:28:00 AM,"CHESNEY, KENNY",Get Along,2018,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,4:31:00 AM,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,4:34:00 AM,"BENTLEY, DIERKS/BRELAND/HARDY",Beers On Me,2021,R,c-,collab,men,multiethnic,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BPOCMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,4:37:00 AM,"PARDI, JON",Dirt On My Boots,2016,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,4:40:00 AM,"PEARCE, CARLY/MCBRYDE, ASHLEY",Never Wanted To Be That Girl,2021,R,c-,collab,women,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,4:52:00 AM,"ARTS, TENILLE","Back Then, Right Now",2021,R,c-,solo,women,white,Charlotte,false,B2Bwomen,B2BCombWomen,B2BCollabWomen,B2BStraight,B2BwhiteWomen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,4:54:00 AM,"COMBS, LUKE",Forever After All,2020,R,c-,solo,men,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,4:58:00 AM,"ELDREDGE, BRETT",Drunk On Your Love,2015,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,5:00:00 AM,RICOCHET,The Star Spangled Banner,1996,G,c-,group,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,5:02:00 AM,FLORIDA GEORGIA LINE,Long Live,2020,R,c-,duo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,5:04:00 AM,"CHURCH, ERIC",Springsteen,2011,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,5:08:00 AM,"HURD, RYAN/MORRIS, MAREN",Chasing After You,2021,R,c-,collab,male-female,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,5:19:00 AM,"RHETT, THOMAS",Sixteen,2017,G,c-,solo,men,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,5:22:00 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,5:26:00 AM,"COMBS, LUKE",Forever After All,2020,R,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,5:29:00 AM,"ZAC BROWN BAND/BUFFETT, JIMMY",Knee Deep,2010,G,c-,collab,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,5:33:00 AM,"PARMALEE/BROWN, BLANCO",Just The Way,2019,R,c-,collab,men,multiethnic,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,5:36:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,5:39:00 AM,"HUNT, SAM",House Party,2014,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,5:50:00 AM,"YOUNG, BRETT",Lady,2020,R,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,5:53:00 AM,"DICKERSON, RUSSELL",Blue Tacoma,2016,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,5:56:00 AM,"LAMBERT, MIRANDA",The House That Built Me,2009,G,c-,solo,women,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,6:08:00 AM,"MORRIS, MAREN",Circles Around This Town,2022,R,c-,solo,women,white,Charlotte,false,B2Bwomen,B2BCombWomen,B2BCollabWomen,B2BStraight,B2BwhiteWomen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,6:11:00 AM,"SCOTT, DYLAN",Nobody,2019,R,c-,solo,men,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,6:15:00 AM,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,6:18:00 AM,"CHESNEY, KENNY",Young,2001,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,6:22:00 AM,"ALDEAN, JASON",Got What I Got,2019,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,6:32:00 AM,"HAYES, WALKER",Fancy Like,2021,R,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,6:34:00 AM,"BRYAN, LUKE",Roller Coaster,2013,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,6:48:00 AM,"MCCREERY, SCOTTY",You Time,2020,R,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,6:51:00 AM,"KEITH, TOBY",As Good As I Once Was,2005,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,6:55:00 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,7:05:00 AM,"MORRIS, MAREN",Circles Around This Town,2022,R,c-,solo,women,white,Charlotte,false,X,B2BCombWomen,B2BCollabWomen,B2BStraight,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,7:08:00 AM,"BENTLEY, DIERKS",Somewhere On A Beach,2016,G,c-,solo,men,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,7:18:00 AM,"RODGERS, JAMESON/COMBS, LUKE",Cold Beer Calling…,2020,R,c-,collab,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,7:21:00 AM,"CURRINGTON, BILLY",Do I Make You Wanna,2015,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,7:25:00 AM,"RICE, CHASE/FLORIDA GEORGIA LINE",Drinkin' Beer Talkin' God Amen,2020,R,c-,collab,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,7:28:00 AM,"NICHOLS, JOE",Brokenheartsville,2002,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,7:31:00 AM,"DICKERSON, RUSSELL",Love You Like I Used To,2020,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,7:34:00 AM,ZAC BROWN BAND,Same Boat,2021,R,c-,group,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,7:37:00 AM,LADY ANTEBELLUM,Downtown,2013,G,c-,trio,male-female,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,7:40:00 AM,"SHELTON, BLAKE/STEFANI, GWEN",Happy Anywhere,2020,R,c-,collab,male-female,white,Charlotte,false,B2Bmixed,B2BCombWomen,X,B2BStraight,B2BwhiteMixed
1/7/22,"Friday, Morris",AMD,iHeartMedia,WKKT-FM,7:43:00 AM,"UNDERWOOD, CARRIE",Undo It,2009,G,c-,solo,women,white,Charlotte,false,X,B2BCombWomen,B2BCollabWomen,B2BStraight,X
